Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,2,29,1,1,1,1,1,436.726243886228,0.0396865351735178,0.635378407557166,18.6
FBL-QP,3,29,1,1,1,1,1,551.760457329731,0.0439121456716097,0.63770620511835,18.46
FBL-QP,4,29,1,1,1,1,1,264.97859725383,0.0369553594963365,0.620573017405342,18.82
FBL-QP,5,29,1,1,1,1,1,346.106652918295,0.0413674769391582,0.625564955623799,18.36
FBL-QP,1,2,1,1,1,1,1,212.009110610831,0.0522502821337751,0.723881499059925,19.4
FBL-QP,2,2,1,1,1,1,1,206.677839182301,0.0544349552891519,0.726107210858209,19.22
FBL-QP,3,2,1,1,1,1,1,202.203935649649,0.0558821560867655,0.724682244173631,19.06
FBL-QP,4,2,1,1,1,1,1,204.903331623914,0.0567935013564341,0.724625382142039,19.1
FBL-QP,5,2,1,1,1,1,1,207.147803586741,0.059189238513563,0.723389776041217,19
FBL-QP,1,30,1,1,1,1,1,607.253841391047,0.0431626050349825,0.731046097548351,16.68
FBL-QP,2,30,1,1,1,1,1,464.762925435011,0.0422732821910646,0.724888009154291,16.62
FBL-QP,3,30,1,1,1,1,1,609.161936046868,0.0431816232355839,0.730655389736542,16.68
FBL-QP,4,30,1,1,1,1,1,646.98303933275,0.0420902947474854,0.732732814500776,16.8
FBL-QP,5,30,1,1,1,1,1,521.81444619973,0.0465891538175752,0.728429393802238,16.86
FBL-QP,1,31,1,1,1,1,1,409.930821073504,0.0534697476650659,0.689230745996186,18.38
FBL-QP,2,31,1,1,1,1,1,483.360458038405,0.0555136109533243,0.693793853199966,18.54
FBL-QP,3,31,1,1,1,1,1,347.07140539608,0.0520521060755844,0.685189751145062,18.3
FBL-QP,4,31,1,1,1,1,1,356.151584009045,0.0535914397948609,0.684807847446756,18.48
FBL-QP,5,31,1,1,1,1,1,343.332238557141,0.0511407169138118,0.68323805331861,18.4
FBL-QP,1,32,1,1,1,1,1,820.280928970935,0.094508618926629,0.483713907237947,23.14
FBL-QP,2,32,1,1,1,1,1,505.55033447385,0.096613766712469,0.51189158618873,18.44
FBL-QP,3,32,1,1,1,1,1,1882.68367171928,0.0917486008288465,0.597743651088488,18.82
FBL-QP,4,32,1,1,1,1,1,485.882368637949,0.0964053622566823,0.494203339082227,20.32
FBL-QP,5,32,1,1,1,1,1,516.276995052547,0.0968509439753708,0.509476640984868,18.7
FBL-QP,1,33,1,1,1,1,1,727.469341759437,0.0358110968361408,0.704777752357856,15.98
FBL-QP,2,33,1,1,1,1,1,1303.06969713721,0.0483948465709464,0.733026937377284,16.7
FBL-QP,3,33,1,1,1,1,1,1475.28362504611,0.0363834302076483,0.734242946807272,16.52
FBL-QP,4,33,1,1,1,1,1,705.22307328153,0.0367280071284142,0.696322849457584,15.82
FBL-QP,5,33,1,1,1,1,1,1376.59280835971,0.0356992972476224,0.737162296600904,16.58
FBL-QP,1,34,1,1,1,1,1,5316.12672524088,0.0350140129876771,0.628055000695051,34.46
FBL-QP,2,34,NaN,NaN,NaN,NaN,NaN,110852.100285352,0.016558813326228,0.40848266988315,534.68
FBL-QP,3,34,NaN,NaN,NaN,NaN,NaN,112732.99223697,0.036967563251245,0.456518456131048,461.38
FBL-QP,4,34,1,1,1,1,1,6438.5542327617,0.0276328417621776,0.650370528136105,36.7
FBL-QP,5,34,1,1,1,1,1,4765.77258075606,0.0350860399800694,0.628809062075183,34.58
FBL-QP,1,35,1,1,1,1,1,2022.26879625754,0.0952350626026909,0.379623553716499,88.36
FBL-QP,2,35,1,1,1,1,1,1788.56419479598,0.0952261017925078,0.381607995420033,88.88
FBL-QP,3,35,1,1,1,1,1,1968.17560869598,0.0952437110614189,0.377247287159587,88.62
