Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL,3,16,1,1,1,1,1,130.83108441465,0.03946017597832,0.41618547973892,39.88
FBL,4,16,1,1,1,1,1,126.499201633076,0.0396988411293307,0.414595164184709,39.88
FBL,5,16,1,1,0,1,0,183.273329580796,0.0333821123060323,0.419188717728806,39.86
FBL,1,17,1,1,0,0,0,22455.7096381359,0.0187354222889755,0.537497759895494,85.9
FBL,2,17,NaN,NaN,NaN,NaN,NaN,16026.1670180207,0.26611159660739,0.305244652702164,608.3
FBL,3,17,NaN,NaN,NaN,NaN,NaN,13089.4408531354,0.161323887854503,0.273919608314106,608.28
FBL,4,17,NaN,NaN,NaN,NaN,NaN,17970.3830382955,0.25765151955962,0.298016861399476,607.9
FBL,5,17,1,1,0,0,0,2022.12931439334,0.0426846078439712,0.329312327018545,89.82
FBL,1,18,1,1,0,1,1,54.5952171152503,0.0252075806613014,0.336125708460191,37.9
FBL,2,18,1,1,0,1,0,55.7651747555518,0.0246602919474572,0.335276338703332,37.9
FBL,3,18,1,1,0,1,0,56.9584607141711,0.0254184114042367,0.333517636887105,37.84
FBL,4,18,1,1,0,1,1,55.4398148613277,0.0250498417696701,0.335188001200249,37.88
FBL,5,18,1,1,0,1,0,57.5398246648523,0.0243406316260494,0.333112613680046,37.84
FBL,1,19,NaN,NaN,NaN,NaN,NaN,13577.121630099,0.249381576600984,0.273834479215959,608.34
FBL,2,19,NaN,NaN,NaN,NaN,NaN,2135547.27521053,0.470887453126624,0.628071415105449,608.02
FBL,3,19,NaN,NaN,NaN,NaN,NaN,12666.5116377763,0.251520017230005,0.27488533815928,608
FBL,4,19,1,1,0,0,0,131946.123286468,0.0190844684038296,0.732398546601572,155.14
FBL,5,19,1,1,0,0,0,2106.04019565687,0.0562101703246212,0.333981094769239,75.96
FBL,1,1,1,1,0,1,1,118.063714922424,0.0377537838602592,0.393187081954943,39.56
