Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,79,1,1,1,1,969.641024499679,0.0268170743929766,0.600687726744297,18.2
FBL-QP,80,1,1,1,1,1185.70081385683,0.090582494346481,0.46262656300916,33.3933333333333
FBL-QP,81,1,1,1,1,352.278774431673,0.00942736356655656,0.65016352142488,17.8866666666667
FBL-QP,82,1,1,1,1,213.069960494002,0.00514159007664622,0.471698331037066,17.6066666666667
FBL-QP,83,1,1,1,1,1119.93789100148,0.0438465278810779,0.540848889752594,19.26
FBL-QP,84,1,0,1,1,17142.1313433031,0.196800935153977,0.245132987682034,536.82
FBL-QP,85,1,1,1,1,1162.21623235325,0.0361563263517303,0.612619883344144,16.78
FBL-QP,86,1,1,1,1,132.820105620084,0.0166629684666463,0.451438283101814,17.32
FBL-QP,87,1,1,1,1,6772.92978736482,0.0918801042344198,0.24700306626889,201.026666666667
FBL-QP,88,1,1,1,1,1014.81106241173,0.0215564180789311,0.551998134979078,17.4733333333333
FBL-QP,89,1,1,1,0,1135.67607472089,0.00581211245181182,0.570318097768578,19.6133333333333
FBL-QP,90,1,1,1,1,991.949194395821,0.093471978759592,0.422198701812858,30.0066666666667
FBL-QP,91,1,1,1,1,1432.67033415318,0.0247968259595247,0.438061119717699,21.4933333333333
FBL-QP,92,1,1,1,1,511.280407355314,0.00445745328001235,0.426195943578379,15.0933333333333
FBL-QP,93,1,1,1,1,1257.45141287618,0.0351295797014622,0.548026120477219,18.24
FBL-QP,94,1,1,1,1,1109.07144950362,0.0173293109674646,0.596487097559224,18.14
FBL-QP,95,1,1,1,1,601.939676576914,0.018569445231104,0.438482305160142,15.7333333333333
FBL-QP,96,1,1,1,1,2781.4660405206,0.0189593104918099,0.591805249401007,20.42
FBL-QP,97,1,1,1,1,1059.13626817086,0.0197197704541914,0.638718780674729,17.84
FBL-QP,98,1,1,1,1,2068.83325460595,0.0253275857492657,0.743246762204887,19.42
FBL-QP,99,1,1,1,1,1422.70751692969,0.0918689884996741,0.325062902874166,51.6533333333333
FBL-QP,100,1,1,1,1,930.471023110612,0.0615798209913242,0.584217807628153,17.3733333333333
QP,1,1,1,1,1,1443.05918645078,0.088806627987992,0.260333428142695,54.16
QP,2,1,1,1,1,215.729931782361,0.0555847612412657,0.421062845606082,16.46
QP,3,1,1,1,1,376.918933910038,0.0116269473425942,0.384500949481647,18.12
QP,4,1,1,1,1,240.67379231221,0.015546502164085,0.451411705429363,17.62
QP,5,1,1,1,1,210.971513859133,0.00920158116670914,0.449992562940277,15.76
QP,6,1,1,1,1,7742.52648479387,0.0716860568022952,0.265599860989893,111.226666666667
QP,7,1,1,1,1,387.606998150704,0.0491983861052943,0.403474118473276,17.9266666666667
QP,8,1,1,1,1,83.598869835477,0.0200025412016965,0.436857957462179,15.4466666666667
QP,9,1,1,1,1,145.411515765513,0.0888908370119635,0.476426928236239,16.9466666666667
QP,10,1,1,1,1,1503.12090209928,0.0956848350268229,0.18135037607618,83.7
QP,11,1,1,1,1,502.067652648435,0.0260562496020471,0.484829593033153,17.9866666666667
QP,12,0,1,1,1,2188.88296975549,0.0949157998296103,0.207415891254346,103.486666666667
QP,13,1,1,1,1,491.618360994889,0.0481243011636916,0.467062157328208,18.5866666666667
QP,14,1,1,1,1,351.099982305544,0.0545700850209874,0.403241863012221,16.8
QP,15,1,0,1,1,9193.53812669034,0.22648766823399,0.205360928375499,538.12
QP,16,1,1,1,1,253.232585925696,0.016529319769101,0.482340141696863,16.8666666666667
QP,17,1,1,1,1,53.2732346136729,0.0277716099171699,0.499258997641275,14.56
QP,18,1,0,1,1,21010.7339319025,0.366221921762626,0.341708466172773,537.893333333333
QP,19,1,1,1,1,142.272311605446,0.00894507306406421,0.39842491677065,14.9
QP,20,1,1,1,1,158.722836794508,0.0500149656434647,0.434690074576648,16.0466666666667
QP,21,1,1,1,1,121.27537042154,0.0421146853083789,0.440581843397611,14.8733333333333
QP,22,1,1,1,1,88.3745073921137,0.0153086580041899,0.41838118124871,13.9933333333333
QP,23,1,1,1,1,153.277994449159,0.0356699191154465,0.475512038244472,15.0133333333333
QP,24,1,1,1,1,617.330779618213,0.0323709639855385,0.343788026278349,17.4666666666667
QP,25,1,1,1,1,236.858455894736,0.0719643955163987,0.35331278222244,18.5466666666667
QP,26,0,1,1,1,643.186918323627,0.0121564350930757,0.481054315156601,16.0533333333333
QP,27,1,1,1,1,5080.99651119252,0.0918099847097752,0.228306018401849,148.353333333333
QP,28,1,1,1,1,152.283784229142,0.0111747075637788,0.466971695624548,15.6
QP,29,1,1,1,0,302.10708276149,0.0107116707411844,0.422485625530388,15.3533333333333
QP,30,1,0,1,1,311710.241652753,0.613265286052127,0.615070376029528,537.706666666667
QP,31,1,1,1,1,86.339898150727,0.021786272641126,0.414625723429972,14.7133333333333
QP,32,1,1,1,1,94.3541921661066,0.0217275522687584,0.435960882700408,14.1133333333333
QP,33,1,1,1,1,211.46289167718,0.0323132369306837,0.4319307057257,15.6666666666667
QP,34,1,1,1,1,215.997634585631,0.0292947006348549,0.445600854066985,15.16
QP,35,1,0,1,1,225013.719900326,0.448251163229966,0.453775986119526,537.153333333333
QP,36,1,1,1,1,118.032762884208,0.0384838345673114,0.446687768514131,17.04
QP,37,1,1,1,1,123328.878434835,0.00762182075011382,0.444295284877751,319.573333333333
QP,38,1,1,1,1,157.446834167097,0.0425582676322395,0.420587672018662,15.6466666666667
QP,39,1,1,1,1,1061.50044974721,0.0831894980743617,0.359990591180271,17.8066666666667
QP,40,1,1,1,1,1550.83807649042,0.0936341679665372,0.217483630726556,80.72
QP,41,1,1,1,1,132.671255459457,0.0302949785228882,0.418292044952023,14.1
QP,42,1,1,1,1,188.239532189279,0.0174768492807106,0.476714215830124,15.1466666666667
QP,43,1,1,1,0,816.228331850935,0.0950234700260139,0.224175585924409,51.32
QP,44,1,0,1,1,18075.4515295404,0.107363431289092,0.200252694003566,537.92
