Controller,Run,Scene,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime,SceneLogError,ScenePositionError_1,ScenePositionError_2,ScenePositionError_3,SceneRotationError_1,SceneRotationError_2,SceneRotationError_3
FBL-QP,4,26,1,1,1,1,1,445.855621703945,0.0318035245888505,0.698141679871989,16.1,1.3151352600365,0.734186300332935,-1.97633489975037,0.220944590944805,0.664220713492938,0.0533527339622566,0.221628287217306
FBL-QP,5,26,1,1,1,1,1,276.407797809381,0.0320736163491383,0.693121801939119,16.02,1.31513586304814,0.734187455471985,-1.97633622279107,0.220942186509009,0.66422077167627,0.0533527518181024,0.221628282790164
FBL-QP,1,27,1,1,1,1,1,180.052342034226,0.041880228180334,0.598705740597083,17.18,1.14485638319366,0.139296615102796,-0.953617671847032,1.38105538271337,0.663480627932081,0.0501916713124247,0.218061143947239
FBL-QP,2,27,1,1,1,1,1,200.915252502418,0.0412304256632273,0.597521020842253,17.14,1.14485425154256,0.139303463839511,-0.953625707585466,1.38104097946712,0.663480994948422,0.0501917866559551,0.218061118443242
FBL-QP,3,27,1,1,1,1,1,198.551386398618,0.0410672792866843,0.597670926859054,17.14,1.14485602801588,0.139297756506376,-0.953619010973643,1.38105298210232,0.663480689274034,0.0501916906038401,0.218061139692882
FBL-QP,4,27,1,1,1,1,1,232.418180415782,0.0402220957562837,0.600940899630136,17.16,1.14485567280025,0.139298897932014,-0.953620350164342,1.38105058151945,0.663480750547608,0.0501917098680211,0.218061135442369
FBL-QP,5,27,1,1,1,1,1,197.258660408306,0.041166054800864,0.597193920813354,17.16,1.14485496225328,0.139301180847399,-0.95362302873915,1.38104578043779,0.663480872890971,0.0501917483094574,0.218061126942603
FBL-QP,1,28,1,1,1,1,1,588.750553355313,0.0345091663359611,0.749870811979522,18.26,1.33434211114313,0.845654804227835,-1.99802999563167,0.0409163648946317,0.664690626071762,0.0318553849691854,0.220129056639347
FBL-QP,2,28,1,1,1,1,1,572.55761500101,0.0372260821553677,0.74150433546072,18.1,1.33434282381918,0.845655988105811,-1.99803134305653,0.0409139857043481,0.664690676415961,0.0318554004791128,0.220129054290319
FBL-QP,3,28,1,1,1,1,1,1000.33972749514,0.0629900814547444,0.732577835585746,17.8,1.33434496200991,0.845659539647799,-1.99803538507601,0.04090684809155,0.664690827794602,0.0318554471062969,0.220129047219051
FBL-QP,4,28,1,1,1,1,1,371.451391890645,0.0344564774927528,0.744668756006984,18.14,1.33434211114313,0.845654804227835,-1.99802999563167,0.0409163648946317,0.664690626071762,0.0318553849691854,0.220129056639347
FBL-QP,5,28,1,1,1,1,1,349.28094961722,0.0349348279112359,0.738698605585213,17.94,1.33434353652255,0.845657171968744,-1.99803269043869,0.0409116065071554,0.664690726818036,0.0318554160049636,0.220129051937653
FBL-QP,1,29,1,1,1,1,1,249.116055848109,0.0378821330507645,0.619387614568495,18.72,1.19801834883449,0.120468845051552,-1.41245593842544,1.10503405223157,0.677499979275696,0.0218714553380944,0.217533414955268
FBL-QP,2,29,1,1,1,1,1,436.726243886228,0.0396865351735178,0.635378407557166,18.6,1.19801760361399,0.120473665035914,-1.41246143891234,1.1050244936288,0.677499662483749,0.0218713652123153,0.21753342536177
FBL-QP,3,29,1,1,1,1,1,551.760457329731,0.0439121456716097,0.63770620511835,18.46,1.19801779013586,0.120472459937846,-1.41246006342959,1.10502688317433,0.677499742077201,0.0218713878583921,0.217533422743113
FBL-QP,4,29,1,1,1,1,1,264.97859725383,0.0369553594963365,0.620573017405342,18.82,1.19801797651852,0.12047125490553,-1.41245868818539,1.10502927278873,0.677499821416345,0.0218714104268911,0.217533420128611
FBL-QP,5,29,1,1,1,1,1,346.106652918295,0.0413674769391582,0.625564955623799,18.36,1.19801779013586,0.120472459937846,-1.41246006342959,1.10502688317433,0.677499742077201,0.0218713878583921,0.217533422743113
FBL-QP,1,2,1,1,1,1,1,212.009110610831,0.0522502821337751,0.723881499059925,19.4,1.31484298980214,0.728741372895385,-1.88802240122667,0.518795576777242,0.684837375481809,0.0461012855958862,0.204871796860579
FBL-QP,2,2,1,1,1,1,1,206.677839182301,0.0544349552891519,0.726107210858209,19.22,1.31484298980214,0.728741372895385,-1.88802240122667,0.518795576777242,0.684837375481809,0.0461012855958862,0.204871796860579
FBL-QP,3,2,1,1,1,1,1,202.203935649649,0.0558821560867655,0.724682244173631,19.06,1.31484298980214,0.728741372895385,-1.88802240122667,0.518795576777242,0.684837375481809,0.0461012855958862,0.204871796860579
