Controller,Run,Solved,IsStable,ConstraintsOK,JointsOK,JointsVelOK,ControlEffort,FinalError,RMSE,SimTime
FBL-QP,48,1,1,1,1,1,305.721360683568,0.0195188868098457,0.326944010742232,39.76
FBL-QP,49,1,1,1,1,1,125.294046260892,0.02560152896932,0.35809503798599,39.56
FBL-QP,50,1,1,1,1,1,12176.4029991476,0.0961447828854674,0.269894883065424,290.42
FBL-QP,51,1,1,1,1,1,776.376130573247,0.0357422719611715,0.492798411509377,44.78
FBL-QP,52,1,1,1,1,1,571.607659214121,0.0392901327311253,0.305091638302755,68.62
FBL-QP,53,1,1,1,1,1,456.729133862487,0.0283246084860766,0.311368002094834,41.64
FBL-QP,54,1,1,1,1,1,922.353513285263,0.0776749727585751,0.373588676423878,55.88
FBL-QP,55,1,1,1,1,1,1357.0078124027,0.0959698061121723,0.222056001348475,167.84
FBL-QP,56,1,1,1,1,1,290.892298028849,0.0441930648523913,0.365560573989532,40.82
FBL-QP,57,1,1,1,1,1,260.89357483617,0.0600563789855207,0.429066763162145,44.42
FBL-QP,58,1,1,1,1,1,3669.82988167904,0.0558075537769571,0.518728495768828,46.56
FBL-QP,59,1,1,1,1,1,208.463416432912,0.0317790117845765,0.385869140825276,41.22
FBL-QP,60,1,1,1,1,1,378.495528417333,0.0295678386104363,0.336102302052523,40.82
FBL-QP,61,1,1,1,1,1,274.477304938886,0.0246226418899101,0.347293541662364,40.4
FBL-QP,62,1,1,1,1,1,669.705342408525,0.0270216053776746,0.458838975611387,43.78
FBL-QP,63,1,1,1,1,1,181.976699529433,0.0282157121995213,0.375736445974246,42.2
FBL-QP,64,1,1,1,1,1,269.836851445796,0.0257056305238036,0.395928595835685,42.34
FBL-QP,65,1,1,1,1,1,352.093258923071,0.016972174044934,0.41796183153371,42.78
FBL-QP,66,1,1,1,1,1,2014.32018042629,0.0974777862418512,0.164388619333802,363.96
FBL-QP,67,1,1,1,1,1,679.229600236077,0.0960231878068918,0.324243120149162,80.58
FBL-QP,68,1,1,1,1,1,681.82505279952,0.0787723377054318,0.465027349281717,42.58
FBL-QP,69,1,1,1,1,1,2412.39504796093,0.0689749322247456,0.311317370554356,122.78
FBL-QP,70,1,1,1,1,1,246.154601733585,0.0289264742818417,0.343084553198307,39.1
FBL-QP,71,1,1,1,1,1,1117.20507505565,0.0869429234546327,0.35309308881726,93.06
FBL-QP,72,1,1,1,1,1,421.734489656563,0.0255502944801364,0.40373549952975,47.3
FBL-QP,73,1,1,1,1,1,724.588665223616,0.029321124464605,0.443472767184558,42.18
FBL-QP,74,1,1,1,1,1,248.166445084893,0.0314548120478762,0.360980384896357,40.24
FBL-QP,75,1,1,1,1,1,437.282176562435,0.0384573415946547,0.415203637568062,56.1
FBL-QP,76,1,1,1,1,1,690.453077629405,0.0265794270340862,0.453447784302063,44.4
FBL-QP,77,1,1,1,1,1,532.337128588736,0.0234960981612088,0.493443249447396,42.94
FBL-QP,78,1,1,1,1,1,367.520079803421,0.0338476802541994,0.347351244114276,43.94
FBL-QP,79,1,1,1,1,1,391.665225029818,0.0283193884526368,0.377132860992048,44.6
FBL-QP,80,1,1,1,1,1,2423.9372074584,0.0467421394791442,0.494384664297366,46.38
FBL-QP,81,1,1,1,1,1,255.832612128019,0.0186041740193091,0.447691496481872,43.94
FBL-QP,82,1,1,1,1,1,599.644347733099,0.0328263202552,0.440753255735008,41.5
FBL-QP,83,1,1,1,1,1,291.677667361833,0.0356529954923591,0.376686170334831,41.04
FBL-QP,84,1,1,1,1,1,361.918506022485,0.0416563547813576,0.378028065310691,43.82
FBL-QP,85,1,1,1,1,1,574.724627435636,0.0549139719729814,0.459145121062709,43.98
FBL-QP,86,1,1,1,1,1,241.829278105257,0.0274702489196348,0.302005221851777,38.58
FBL-QP,87,1,1,1,1,1,233.490385437463,0.0276787136342529,0.39745951967672,42.36
FBL-QP,88,1,1,1,1,1,449.219061497475,0.030628001982586,0.340621796928326,42.68
FBL-QP,89,1,1,1,1,1,488.193837369547,0.028152084916775,0.36315540439591,40.24
FBL-QP,90,1,1,1,1,1,242.017398770659,0.0243397897949214,0.39033895085352,42.36
FBL-QP,91,1,1,1,1,1,993.864928789417,0.0939170585660491,0.475720536916524,44.22
FBL-QP,92,1,1,1,1,1,1303.25525587967,0.0793738570993023,0.337167185806071,94.8
FBL-QP,93,1,1,1,1,1,1011.28097546547,0.0265710920541761,0.391672039725556,46.76
FBL-QP,94,1,1,1,1,1,298.473602676437,0.0782881352511485,0.370420825272947,52.44
FBL-QP,95,1,1,1,1,1,2103.98834033665,0.04236950151907,0.404442545021133,50.94
FBL-QP,96,1,1,1,1,1,258.210001934936,0.0302885238979284,0.374615734955717,39.92
FBL-QP,97,1,1,1,1,1,308.890307653793,0.0245346905213172,0.368054927141997,41.5
FBL-QP,98,1,1,1,1,1,977.528112500541,0.0256261566498555,0.469574583314317,45.02
FBL-QP,99,1,1,1,1,1,244.040831170044,0.0252936491617395,0.400244163191892,42.18
FBL-QP,100,1,1,1,1,1,185.042888526996,0.0262533244081914,0.398717613179159,42.4
FBL-QP,101,1,1,1,1,1,833.799821693587,0.0315899810254352,0.372002540988794,40.16
